CMDLINE python mtest_matplotlib.py
MEM 793.488281 1650176411.4515
MEM 793.488281 1650176411.5625
MEM 750.539062 1650176411.6725
MEM 794.039062 1650176411.7835
MEM 794.039062 1650176411.8955
MEM 794.039062 1650176412.0035
MEM 794.039062 1650176412.1145
MEM 801.691406 1650176412.2255
MEM 794.476562 1650176412.3356
MEM 794.476562 1650176412.4455
MEM 794.476562 1650176412.5565
MEM 794.476562 1650176412.6675
MEM 794.476562 1650176412.7785
MEM 794.476562 1650176412.8886
MEM 794.476562 1650176412.9975
MEM 794.476562 1650176413.1095
MEM 794.476562 1650176413.2205
MEM 794.476562 1650176413.3315
MEM 794.476562 1650176413.4415
MEM 881.187500 1650176413.5526
MEM 932.417969 1650176413.6625
MEM 932.417969 1650176413.7735
MEM 932.417969 1650176413.8855
MEM 932.417969 1650176413.9965
MEM 932.570312 1650176414.1045
MEM 933.765625 1650176414.2155
MEM 933.765625 1650176414.3275
MEM 933.765625 1650176414.4375
MEM 933.765625 1650176414.5485
MEM 933.765625 1650176414.6605
MEM 934.218750 1650176414.7715
MEM 934.218750 1650176414.8825
MEM 934.218750 1650176414.9925
MEM 934.218750 1650176415.1036
MEM 934.218750 1650176415.2145
MEM 934.218750 1650176415.3245
MEM 934.218750 1650176415.4356
MEM 934.218750 1650176415.5475
MEM 934.218750 1650176415.6575
MEM 934.218750 1650176415.7685
MEM 934.218750 1650176415.8805
MEM 963.988281 1650176415.9915
MEM 1072.886719 1650176416.1025
MEM 1072.886719 1650176416.2125
MEM 1072.886719 1650176416.3235
MEM 1072.886719 1650176416.4345
MEM 1072.886719 1650176416.5455
MEM 1030.132812 1650176416.6555
MEM 1073.917969 1650176416.7675
MEM 1073.917969 1650176416.8785
MEM 1073.917969 1650176416.9895
MEM 1073.917969 1650176417.1015
MEM 1081.558594 1650176417.2115
MEM 1074.355469 1650176417.3215
MEM 1074.355469 1650176417.4325
MEM 1074.355469 1650176417.5445
MEM 1074.355469 1650176417.6545
MEM 1074.355469 1650176417.7655
