CMDLINE C:\Users\anatolii\AppData\Local\Programs\Python\Python39\python.exe mtest_matplotlib.py
MEM 1633.648438 1644774678.8372
MEM 1633.648438 1644774678.9473
MEM 1633.648438 1644774679.0577
MEM 1634.660156 1644774679.1688
MEM 1634.660156 1644774679.2799
MEM 1634.660156 1644774679.3919
MEM 1634.660156 1644774679.5039
MEM 1635.105469 1644774679.6130
MEM 1635.105469 1644774679.7220
MEM 1635.105469 1644774679.8341
MEM 1635.105469 1644774679.9452
MEM 1635.105469 1644774680.0570
MEM 1635.105469 1644774680.1669
MEM 1635.105469 1644774680.2769
MEM 1635.105469 1644774680.3859
MEM 1507.542969 1644774680.4969
MEM 98.066406 1644774680.6069
MEM 191.871094 1644774680.7170
MEM 236.203125 1644774680.8271
MEM 236.203125 1644774680.9390
MEM 236.203125 1644774681.0500
MEM 236.355469 1644774681.1589
MEM 236.355469 1644774681.2699
MEM 236.355469 1644774681.3779
MEM 236.355469 1644774681.4879
MEM 244.089844 1644774681.5980
MEM 236.792969 1644774681.7061
MEM 236.792969 1644774681.8167
MEM 236.792969 1644774681.9268
MEM 236.792969 1644774682.0379
MEM 236.792969 1644774682.1490
MEM 236.792969 1644774682.2601
MEM 236.792969 1644774682.3672
MEM 236.792969 1644774682.4793
MEM 298.433594 1644774682.5914
MEM 374.929688 1644774682.7025
MEM 374.929688 1644774682.8136
MEM 374.929688 1644774682.9247
MEM 375.082031 1644774683.0368
MEM 376.992188 1644774683.1469
MEM 376.992188 1644774683.2580
MEM 376.992188 1644774683.3681
MEM 384.652344 1644774683.4772
MEM 377.433594 1644774683.5853
MEM 377.433594 1644774683.6964
MEM 377.433594 1644774683.8085
MEM 377.433594 1644774683.9196
MEM 377.433594 1644774684.0277
MEM 377.433594 1644774684.1358
MEM 377.433594 1644774684.2439
MEM 377.433594 1644774684.3540
MEM 388.835938 1644774684.4631
MEM 515.589844 1644774684.5732
MEM 517.460938 1644774684.6813
MEM 517.460938 1644774684.7904
MEM 517.460938 1644774684.9015
MEM 517.613281 1644774685.0126
MEM 517.613281 1644774685.1217
MEM 517.613281 1644774685.2328
MEM 518.015625 1644774685.3449
MEM 518.050781 1644774685.4530
MEM 518.050781 1644774685.5631
MEM 518.050781 1644774685.6712
MEM 518.050781 1644774685.7833
MEM 518.050781 1644774685.8924
MEM 518.050781 1644774686.0045
MEM 518.050781 1644774686.1156
MEM 518.050781 1644774686.2237
MEM 527.699219 1644774686.3358
MEM 654.886719 1644774686.4479
MEM 654.886719 1644774686.5580
MEM 654.886719 1644774686.6691
