CMDLINE python mtest_dates_simpleplots.py
MEM 86.054688 1650190295.6149
MEM 86.054688 1650190295.7219
MEM 93.382812 1650190295.8299
MEM 89.507812 1650190295.9379
MEM 86.054688 1650190296.0459
MEM 91.742188 1650190296.1539
MEM 94.207031 1650190296.2639
MEM 86.054688 1650190296.3729
MEM 93.382812 1650190296.4819
MEM 88.082031 1650190296.5909
MEM 86.054688 1650190296.6999
MEM 86.054688 1650190296.8089
MEM 108.828125 1650190296.9159
MEM 86.054688 1650190297.0239
MEM 60.843750 1650190297.1329
MEM 111.906250 1650190297.2409
MEM 86.054688 1650190297.3499
MEM 74.601562 1650190297.4579
MEM 106.878906 1650190297.5669
MEM 86.054688 1650190297.6749
MEM 64.484375 1650190297.7829
MEM 86.054688 1650190297.8919
MEM 93.062500 1650190297.9999
MEM 86.054688 1650190298.1089
MEM 86.140625 1650190298.2159
MEM 95.320312 1650190298.3249
MEM 81.343750 1650190298.4329
MEM 86.054688 1650190298.5409
MEM 92.542969 1650190298.6489
MEM 84.472656 1650190298.7579
MEM 86.140625 1650190298.8649
MEM 96.390625 1650190298.9729
MEM 86.054688 1650190299.0819
MEM 86.140625 1650190299.1899
MEM 98.425781 1650190299.2979
MEM 86.054688 1650190299.4069
MEM 86.140625 1650190299.5159
MEM 99.039062 1650190299.6239
MEM 86.140625 1650190299.7319
MEM 86.054688 1650190299.8399
MEM 104.558594 1650190299.9489
MEM 86.140625 1650190300.0569
MEM 86.054688 1650190300.1659
MEM 105.691406 1650190300.2719
MEM 86.140625 1650190300.3799
MEM 86.054688 1650190300.4889
MEM 104.683594 1650190300.5949
MEM 86.140625 1650190300.7039
MEM 86.054688 1650190300.8109
MEM 107.156250 1650190300.9209
MEM 86.140625 1650190301.0309
MEM 86.054688 1650190301.1389
MEM 105.097656 1650190301.2479
MEM 86.140625 1650190301.3579
MEM 86.054688 1650190301.4679
MEM 107.519531 1650190301.5759
MEM 70.632812 1650190301.6879
MEM 111.417969 1650190301.7969
MEM 88.414062 1650190301.9069
MEM 79.835938 1650190302.0169
MEM 86.054688 1650190302.1239
MEM 90.984375 1650190302.2319
MEM 71.476562 1650190302.3409
MEM 86.054688 1650190302.4509
MEM 90.281250 1650190302.5589
MEM 78.925781 1650190302.6689
MEM 86.140625 1650190302.7789
MEM 96.410156 1650190302.8889
MEM 86.054688 1650190302.9989
MEM 86.140625 1650190303.1089
MEM 99.609375 1650190303.2179
MEM 86.054688 1650190303.3279
MEM 86.140625 1650190303.4359
MEM 100.414062 1650190303.5459
MEM 86.140625 1650190303.6539
MEM 86.054688 1650190303.7639
MEM 103.847656 1650190303.8719
MEM 86.140625 1650190303.9819
MEM 86.054688 1650190304.0909
MEM 106.832031 1650190304.2009
MEM 86.140625 1650190304.3089
MEM 86.054688 1650190304.4179
MEM 93.382812 1650190304.5279
MEM 86.054688 1650190304.6379
MEM 86.054688 1650190304.7459
MEM 93.382812 1650190304.8549
MEM 86.054688 1650190304.9619
MEM 86.054688 1650190305.0709
MEM 93.382812 1650190305.1779
MEM 86.054688 1650190305.2889
MEM 86.054688 1650190305.3979
MEM 93.382812 1650190305.5079
MEM 86.054688 1650190305.6169
MEM 86.054688 1650190305.7259
MEM 93.382812 1650190305.8349
MEM 86.054688 1650190305.9439
MEM 86.054688 1650190306.0529
MEM 93.382812 1650190306.1599
MEM 86.054688 1650190306.2699
MEM 86.054688 1650190306.3799
MEM 93.382812 1650190306.4899
MEM 86.054688 1650190306.5999
MEM 86.054688 1650190306.7089
MEM 93.382812 1650190306.8179
MEM 86.054688 1650190306.9249
MEM 86.054688 1650190307.0349
MEM 93.382812 1650190307.1439
MEM 86.054688 1650190307.2539
MEM 86.054688 1650190307.3619
MEM 93.421875 1650190307.4709
MEM 86.097656 1650190307.5829
MEM 86.097656 1650190307.6919
MEM 93.425781 1650190307.8009
MEM 86.097656 1650190307.9075
MEM 86.097656 1650190308.0157
MEM 93.425781 1650190308.1247
MEM 86.097656 1650190308.2337
MEM 86.097656 1650190308.3437
MEM 93.425781 1650190308.4517
MEM 86.097656 1650190308.5597
MEM 86.097656 1650190308.6680
